mlbamID,playerName,team,league,defaultPos,W,L,S,IP,H,R,ER,HR,BB,K,HBP,G_SP,G_RP
407193,Brandon Lyon,HOU,NL,RP,5,3,15,73,64,28,28,6,25,54,1,0,65
407296,Carlos Zambrano,CHN,NL,SP,8,6,0,124,116,59,56,10,55,103,6,28,0
407297,Juan Cruz,KCA,AL,RP,3,3,0,57,53,31,28,6,30,54,3,0,46
407298,Jason Jennings,OAK,AL,RP,3,5,0,68,81,44,39,9,29,45,2,0,44
407377,Mike Koplove,SEA,AL,RP,3,3,0,52,52,27,25,5,24,41,0,0,0
407757,Nate Field,FLO,NL,RP,2,3,0,43,43,28,26,8,24,42,0,0,0
407783,Geoff Geary,TEX,AL,RP,2,3,0,42,49,26,23,4,15,25,2,0,16
407786,Jorge Padilla,WAS,NL,OF,1,0,0,10,11,5,5,1,3,7,0,3,-3
407791,Brendan Donnelly,PIT,NL,RP,2,1,0,27,26,11,10,1,10,23,1,0,30
407793,John Lackey,BOS,AL,SP,11,9,0,176,181,86,79,18,47,139,9,27,0
407795,John Ennis,PHI,NL,RP,2,1,0,30,32,18,16,4,12,25,0,0,0
446550,Nick Green,MIL,NL,SP,3,7,0,88,102,59,53,17,24,48,0,0,0
407815,Antonio Perez,ATL,NL,SS,3,4,0,66,75,43,38,10,32,41,2,0,0
407816,J.j. Putz,CHA,AL,RP,3,2,0,45,39,21,20,3,21,43,1,0,29
407819,Matt Thornton,CHA,AL,RP,5,3,4,68,55,24,23,5,21,76,2,0,70
407822,Jorge De La Rosa,COL,NL,SP,7,7,0,124,136,72,63,13,55,119,5,32,1
407825,Matt Guerrier,MIN,AL,RP,5,3,14,73,64,35,32,9,22,50,3,0,79
407829,Ron Chiavacci,DET,AL,SP,3,7,0,88,111,73,66,19,40,52,0,0,0
407835,Jason Lane,FLO,NL,OF,1,0,0,9,10,5,4,1,4,8,0,0,0
407840,Brandon Backe,,,SP,2,4,0,50,59,33,30,8,22,35,1,1,4
407842,Jose Veras,FLO,NL,RP,2,1,0,30,25,16,16,4,16,29,2,0,47
407843,Andy Van Hekken,HOU,NL,SP,4,7,0,96,109,55,47,10,27,55,0,0,0
407845,Fernando Rodney,LAA,AL,RP,4,3,13,64,58,32,32,6,34,57,3,0,73
407853,Erik Bedard,SEA,AL,SP,7,5,0,107,90,42,41,11,42,109,4,15,0
407860,Gustavo Chacin,HOU,NL,SP,2,6,0,72,83,49,45,13,33,37,1,0,0
407878,Jose Valverde,DET,AL,RP,3,1,29,40,35,17,16,4,15,41,1,0,52
407884,Tyler Yates,PIT,NL,RP,2,2,0,39,39,23,20,4,20,34,1,0,15
407890,Colby Lewis,TEX,AL,SP,6,7,0,121,133,70,64,15,35,86,2,0,0
407896,Billy Traber,BOS,AL,RP,2,3,0,42,55,31,27,5,14,18,1,0,1
407901,Jorge Sosa,BOS,AL,RP,2,3,0,42,47,28,25,6,16,30,0,0,18
407908,Joel Peralta,WAS,NL,RP,2,2,0,37,38,21,19,5,12,31,1,0,27
407911,Frank Francisco,TEX,AL,RP,2,1,27,31,28,14,13,3,12,35,1,0,51
407924,Manny Acosta,NYN,NL,RP,2,2,0,38,38,21,20,5,23,30,1,0,36
408052,Chris Bootcheck,,,RP,2,2,0,34,36,19,17,2,15,30,1,0,13
408057,Bobby Jenks,CHA,AL,RP,4,3,29,60,53,26,24,6,18,50,2,0,52
408061,Francisco Rodriguez,NYN,NL,RP,5,3,32,69,50,27,25,6,37,80,1,0,70
408069,Erick Threets,CHA,AL,RP,2,2,0,38,38,22,21,3,23,23,1,0,0
408072,Jason Bulger,LAA,AL,RP,3,2,0,43,34,19,18,3,20,46,1,0,64
408077,Lindsay Gulin,MIL,NL,SP,6,8,0,129,126,80,76,16,87,86,0,0,0
408206,Brett Myers,HOU,NL,SP,3,5,0,71,73,38,35,12,24,61,2,10,8
408230,Pedro Feliciano,NYN,NL,RP,4,3,0,60,50,25,23,7,22,57,2,0,88
408232,Ray Olmedo,MIL,NL,SS,0,1,0,10,12,8,7,2,4,7,0,0,0
408241,Jake Peavy,CHA,AL,SP,9,8,0,152,125,71,66,15,50,143,3,16,0
408297,Kenny Baugh,HOU,NL,SP,2,5,0,64,72,45,41,9,41,39,0,0,0
408304,Jon Switzer,HOU,NL,RP,1,3,0,35,38,21,19,5,15,26,0,0,4
408310,Aaron Heilman,CHN,NL,RP,4,4,0,76,73,41,39,9,35,69,4,0,70
420864,Randy Flores,COL,NL,RP,1,2,0,27,32,17,14,2,11,23,1,0,27
421685,Aaron Harang,CIN,NL,SP,10,10,0,181,195,97,85,25,48,158,4,26,0
424144,Oliver Perez,NYN,NL,SP,4,5,0,84,75,49,47,13,51,78,4,14,0
424164,Kirk Saarloos,CLE,AL,RP,3,6,0,79,103,61,54,14,33,36,1,0,0
424324,Cliff Lee,SEA,AL,SP,12,9,0,188,193,79,71,16,41,141,5,34,0
424805,Mark Hendrickson,BAL,AL,SP,5,8,0,117,140,72,65,15,36,69,3,11,42
424925,Clay Condrey,MIN,AL,RP,2,2,0,34,39,17,15,3,10,18,1,0,45
425146,Nate Robertson,FLO,NL,SP,4,5,0,81,96,51,45,9,32,55,2,6,22
425186,Jason Davis,PIT,NL,RP,2,4,0,58,65,36,32,4,33,26,1,0,0
425226,Brian Tallet,TOR,AL,RP,5,7,0,106,100,58,55,11,47,80,4,25,12
425386,Jeremy Guthrie,BAL,AL,SP,9,11,0,177,200,100,94,23,55,106,7,33,0
425406,Josh Hall,SEA,AL,RP,2,5,0,59,72,43,39,8,33,26,0,0,0
425426,Chien-ming Wang,WAS,NL,SP,3,4,0,66,69,35,32,5,24,40,2,9,3
425427,Jason Anderson,PHI,NL,RP,3,4,0,65,71,43,39,10,28,40,0,0,0
425428,Jorge De Paula,LAA,AL,SP,4,9,0,119,151,95,86,24,48,60,2,0,0
425446,Aaron Miles,CIN,NL,2B,1,0,0,13,12,6,6,2,4,9,1,31,-31
425466,Willie Eyre,TEX,AL,RP,2,2,0,33,37,19,18,2,14,19,1,0,17
425471,Jimmy Gobble,COL,NL,RP,1,2,0,23,25,16,15,4,12,22,1,0,12
425487,Todd Wellemeyer,SFN,NL,SP,4,6,0,90,100,56,52,14,37,62,3,21,7
425492,Ryan Madson,PHI,NL,RP,6,3,1,80,80,35,32,7,25,71,3,0,79
425496,Cody Ross,FLO,NL,OF,1,0,0,10,10,5,4,1,4,7,0,149,-148
425507,Fernando Cabrera,BOS,AL,RP,1,2,0,28,32,19,16,3,16,25,0,0,6
425514,Heath Bell,SDN,NL,RP,5,3,34,71,49,24,22,5,25,74,1,0,68
425528,Seth Mcclung,FLO,NL,RP,3,4,0,67,64,38,38,9,41,51,2,2,39
425530,Brian Stokes,LAA,AL,RP,4,4,0,74,74,39,36,7,33,47,1,0,69
425531,Doug Waechter,,,RP,1,2,0,28,36,19,16,4,7,14,1,0,5
425532,Jerome Williams,OAK,AL,RP,2,5,0,65,85,57,51,14,32,28,0,0,0
425539,Hong-chih Kuo,LAN,NL,RP,2,2,0,33,26,12,12,2,12,36,1,0,35
425543,Josh Wilson,SEA,AL,SS,0,2,0,21,29,21,19,6,10,11,0,53,-51
425546,Nate Bump,PHI,NL,SP,4,3,0,62,68,35,31,5,20,29,0,0,0
425555,Daniel Cabrera,CHA,AL,SP,3,6,0,79,87,55,49,8,49,50,6,9,6
425561,Chris Waters,MIL,NL,SP,3,6,0,77,90,61,56,16,47,42,1,1,4
425562,Vinnie Chulk,PIT,NL,RP,2,1,0,28,29,15,15,4,12,17,1,0,8
425606,Kiko Calero,NYN,NL,RP,2,1,0,30,24,12,12,2,16,31,1,0,67
425628,Greg Aquino,CHA,AL,RP,1,2,0,23,25,16,15,3,15,17,0,0,10
425629,Oscar Villarreal,,,,2,3,0,47,47,27,25,8,19,31,2,0,0
425630,Brandon Webb,ARI,NL,SP,7,6,0,113,112,50,45,8,33,90,5,1,0
425634,Mike Hessman,NYN,NL,3B,1,0,0,11,11,5,5,1,4,7,0,0,0
425646,Luis Ayala,LAN,NL,RP,2,2,0,37,44,23,20,4,12,25,2,0,38
425647,D.j. Carrasco,PIT,NL,RP,5,3,0,75,74,31,29,4,24,56,3,1,48
425652,Jerome Gamble,ATL,NL,RP,3,5,0,68,73,51,48,13,50,52,0,0,0
425655,John Koronka,LAN,NL,SP,3,5,0,70,82,48,42,11,32,36,0,2,0
425656,Wil Ledezma,WAS,NL,RP,2,2,0,38,38,19,17,3,17,31,0,0,5
425657,Javier Lopez,PIT,NL,RP,2,2,0,32,35,18,15,2,15,19,1,0,14
425747,Jose Contreras,PHI,NL,SP,6,6,0,104,107,57,51,10,40,79,4,23,5
425768,Angel Guzman,CHN,NL,RP,2,1,0,28,24,14,13,3,11,23,1,0,55
425787,Tim Hamulack,KCA,AL,RP,2,3,0,44,56,31,27,6,17,28,0,0,0
425794,Adam Wainwright,SLN,NL,SP,13,8,0,189,176,73,67,17,55,158,4,34,0
425817,Jesse Foppert,,,RP,1,3,0,35,41,32,31,7,36,21,0,0,0
425818,Boof Bonser,BOS,AL,RP,3,4,0,64,73,43,39,9,22,51,1,0,0
425825,Carlos Mendoza,NYA,AL,1B,1,0,0,9,10,5,4,1,3,7,0,0,0
425827,Jeremy Bonderman,DET,AL,SP,3,3,0,58,67,36,33,8,21,41,2,1,7
425830,Preston Larrison,WAS,NL,RP,2,3,0,48,54,32,28,5,27,22,0,0,0
425840,Neal Cotts,PIT,NL,RP,1,2,0,23,24,13,12,3,12,21,1,0,19
425843,Ruddy Lugo,DET,AL,RP,4,8,0,109,128,80,74,16,54,55,1,0,0
