playerName,mlbamID,Tm,Lg,Pos
Francisco Liriano,434538,MIN,AL,SP
Matt Maloney,476011,MIN,AL,SP
Angel Mata,593938,MIN,AL,SP
Miguel Munoz,500888,MIN,AL,SP
Cole Nelson,571985,MIN,AL,SP
Ryan O'Rourke,594951,MIN,AL,SP
Daniel Osterbrock,543616,MIN,AL,SP
Justin Parker,543625,MIN,AL,SP
Carl Pavano,134321,MIN,AL,SP
Hein Robb,547906,MIN,AL,SP
Adrian Salcedo,542565,MIN,AL,SP
Manuel Soliman,516614,MIN,AL,SP
Brad Stillings,572165,MIN,AL,SP
Tom Stuifbergen,521232,MIN,AL,SP
Dennis Suarez,493360,MIN,AL,SP
Anthony Swarzak,461872,MIN,AL,SP
Todd Van Steensel,573667,MIN,AL,SP
Scottie Allen,572676,NYA,AL,SP
Manny Banuelos,544365,NYA,AL,SP
Dellin Betances,476454,NYA,AL,SP
Sean Black,502271,NYA,AL,SP
Andrew Brackman,457581,CIN,NL,SP
A.J. Burnett,150359,PIT,NL,SP
Evan DeLuca,571612,NYA,AL,SP
Steve Evarts,502014,NYA,AL,SP
Freddy Garcia,150119,NYA,AL,SP
Steve Garrison,477237,NYA,AL,SP
Shane Greene,572888,NYA,AL,SP
Shaeffer Hall,502638,NYA,AL,SP
Jairo Heredia,520973,NYA,AL,SP
Phil Hughes,461833,NYA,AL,SP
Kei Igawa,506432,NYA,AL,SP
Daniel Mahoney,518976,NYA,AL,SP
Brett Marshall,543493,NYA,AL,SP
Brad Meyers,455122,NYA,AL,SP
Bryan Mitchell,571951,NYA,AL,SP
D. J. Mitchell,543551,NYA,AL,SP
Ivan Nova,467100,NYA,AL,SP
Zachary Nuding,571990,NYA,AL,SP
Vidal Nuno,573064,NYA,AL,SP
Michael O'Brien,543600,NYA,AL,SP
William Oliver,489180,NYA,AL,SP
David Phelps,475479,NYA,AL,SP
Mark Prior,407578,NYA,AL,SP
Jose Ramirez,542432,NYA,AL,SP
Wilton Rodriguez,544568,NYA,AL,SP
Josh Romanski,489264,NYA,AL,SP
Evan Rutckyj,592709,NYA,AL,SP
CC Sabathia,282332,NYA,AL,SP
Graham Stoneburner,572170,NYA,AL,SP
Nik Turley,543867,NYA,AL,SP
Zachary Varce,592824,NYA,AL,SP
Adam Warren,476589,NYA,AL,SP
Eduardo Aldama,514897,NYN,NL,SP
Kyle Allen,542872,NYN,NL,SP
Yohan Almonte,542670,NYN,NL,SP
Alberto Baldonado,593604,NYN,NL,SP
Eric Beaulac,542919,NYN,NL,SP
Marcos Camarena,542672,NYN,NL,SP
Robert Carson,518533,NYN,NL,SP
Mark Cohoon,543036,NYN,NL,SP
Angel Cuan,541593,NYN,NL,SP
