mlbamID,playerName,team,league,IP,W,L,S,H,R,ER,HR,K,BB,IBB,HBP,WP,BK,G_SP,G_RP
456499,Scott Patterson,SDN,NL,4.67,0,0,0,2,51,1,0,7,6,7,2,2,0,0,4
456501,Johnny Cueto,CIN,NL,174,9,14,0,178,12,93,29,158,68,2,0,1,0,31,0
456585,Mike O'Connor,WAS,NL,9,1,1,0,11,11,13,3,4,11,2,1,3,0,1,4
456589,Jay Bergmann,WAS,NL,139.67,2,11,0,153,0,79,25,96,47,0,0,0,0,22,8
456682,Josh Newman,KCA,AL,15.67,0,0,0,25,137,15,4,8,12,6,13,3,0,0,12
456701,Homer Bailey,CIN,NL,36.33,0,6,0,59,31,32,8,18,17,3,1,1,0,8,0
456744,Chris Schroder,OAK,AL,5,0,0,0,6,1,3,2,3,6,0,0,1,0,0,4
457122,Rocky Cherry,NYN,NL,17,0,3,1,15,2,12,3,15,16,0,0,0,0,0,18
457422,Tim Dillard,MIL,NL,14.33,0,0,0,17,6,7,2,5,6,0,0,2,0,0,13
457425,Evan Meek,PIT,NL,13,0,1,0,11,57,10,3,7,12,2,2,2,2,0,9
457428,James McDonald,LAN,NL,6,0,0,0,5,21,0,0,2,1,2,3,4,0,0,4
457429,Boone Logan,ATL,NL,42.33,2,3,0,57,87,28,7,42,14,9,4,3,0,0,55
457435,Phil Coke,NYA,AL,14.67,1,0,0,8,77,1,0,14,2,4,3,2,0,0,12
457437,Jared Wells,SEA,AL,8.33,0,0,0,11,47,8,2,5,7,2,6,0,1,0,8
457448,Matt Harrison,TEX,AL,83.67,9,3,0,100,2,51,12,42,31,0,0,0,0,15,0
457452,Randor Bierd,BOS,AL,36.67,0,2,0,48,47,20,3,25,19,5,3,0,0,0,29
457453,Jair Jurrjens,ATL,NL,188.33,13,10,0,188,7,77,11,139,70,2,0,0,0,31,0
457456,Jo-Jo Reyes,ATL,NL,113,3,11,0,134,34,73,18,78,52,1,2,1,0,22,1
457458,Ty Taubenheim,PIT,NL,6,0,0,0,7,100,2,0,4,3,1,8,6,0,1,0
457468,Josh Banks,SDN,NL,85.33,3,6,0,94,24,45,12,43,32,2,0,0,0,14,3
457733,Joey Devine,OAK,AL,45.67,6,1,1,23,1,3,0,49,15,0,0,0,0,0,42
457761,Ryan Tucker,FLO,NL,37,2,3,0,46,10,34,8,28,23,2,0,2,0,6,7
457796,Garrett Olson,SEA,AL,132.67,9,10,0,168,13,98,17,83,62,1,1,1,0,26,0
457826,Tom Mastny,,,20,2,2,0,28,15,24,6,19,11,0,1,1,0,1,13
457858,Rich Rundles,CLE,AL,5,0,0,0,5,21,1,0,6,3,1,2,1,0,0,8
457910,Geno Espineli,SFN,NL,16,2,0,0,17,1,9,5,8,8,0,0,0,0,0,15
457918,J.A. Happ,PHI,NL,31.67,1,0,0,28,105,13,3,26,14,2,5,6,0,4,4
457922,Eric Hurley,TEX,AL,24.67,1,2,0,26,30,15,5,13,9,4,5,0,0,5,0
458006,Matt Albers,BAL,AL,49,3,3,0,43,89,19,4,26,22,1,7,6,2,3,25
458008,Humberto Sanchez,NYA,AL,2,0,0,0,1,74,1,0,1,2,1,4,1,0,0,2
458567,Andy Sonnanstine,TBA,AL,193.33,13,9,0,212,3,94,21,124,37,0,0,1,0,32,0
