mlbamID,playerName,team,league,defaultPos,W,L,BFP,IP,H,HR,BB,K,HBP,R,ER,Age,G_SP,G_RP
,Brandon Villafuerte,,,RP,3,3,237,54,54,7,23,42,3,29,27,33,,
,Brendan Wise,,,,2,3,195,42,49,7,22,18,3,30,28,23,,
,Brennan Garr,,,,2,2,162,35,37,6,23,28,2,24,22,25,,
,Brent Leach,LAN,NL,RP,2,3,222,48,48,7,33,37,2,30,28,26,,
,Bret Prinz,,,,1,2,138,31,33,5,16,19,1,19,18,32,,
,Brett Bordes,,,,1,2,132,26,30,5,25,14,2,23,21,25,,
,Brett Butts,,,,2,2,158,35,37,7,18,24,2,23,21,23,,
,Brett Cecil,TOR,AL,SP,4,5,370,84,85,11,39,66,4,47,43,22,,
,Brett Harker,,,,2,3,187,41,45,8,22,22,1,28,26,24,,
,Brett Sinkbeil,FLO,NL,SP,3,7,420,90,114,16,43,40,4,68,63,24,,
,Brian Akin,,,,1,3,188,39,41,6,31,32,2,28,26,27,,
,Brian Baker,,,,2,3,198,43,49,8,23,24,3,31,29,26,,
,Brian Bogusevic,HOU,NL,SP,3,6,376,81,97,17,41,39,3,61,56,25,,
,Brian Chambers,,,,1,2,124,25,32,5,17,12,2,22,20,23,,
,Brian Henderson,,,,2,4,242,53,62,8,25,25,2,35,32,27,,
,Brian Holliday,,,,3,7,432,91,118,19,50,40,3,75,69,25,,
,Brian Lawrence,,,,4,4,335,77,87,9,22,45,3,43,40,33,,
,Brian Mazone,LAN,NL,SP,7,6,519,120,127,20,37,75,5,68,63,32,,
,Brian Omogrosso,,,,1,2,163,34,39,5,24,24,1,25,23,25,,
,Brian Pettway,,,,1,2,124,26,32,6,15,15,1,21,19,25,,
,Brian Rogers,,,,3,3,232,53,53,7,24,40,3,29,27,26,,
,Brian Schlitter,,,,2,2,166,36,38,6,22,29,1,24,22,23,,
,Brian Steinocher,,,,2,2,153,33,39,5,17,15,1,23,21,24,,
,Brock Till,,,,2,3,179,40,44,5,18,21,2,24,22,28,,
,Brodie Downs,,,,2,3,177,39,42,5,20,22,3,24,22,29,,
,Brok Butcher,,,,3,6,369,80,100,14,36,36,4,59,55,25,,
,Brooks Brown,ARI,NL,SP,4,8,498,107,123,17,62,71,5,75,69,24,,
,Brooks Dunn,,,,1,2,143,31,34,4,18,18,1,20,19,25,,
,Brooks McNiven,,,,2,3,211,48,54,5,17,23,1,27,25,28,,
,Bryan Augenstein,,,,1,4,230,49,64,11,23,27,2,40,37,22,,
,Bryan Dumesnil,,,,2,3,183,40,41,6,24,33,2,25,23,25,,
,Bryan Hallberg,,,,1,3,193,41,45,8,27,29,2,30,28,24,,
,Bryan Harris,,,,1,3,169,37,43,8,17,18,2,27,25,25,,
,Bryan Rembisz,,,,1,2,124,27,32,5,13,15,1,19,18,23,,
,Bryson Cox,,,,1,2,127,27,34,6,13,14,1,21,19,24,,
,Bubba Nelson,,,,2,3,197,44,45,7,23,30,2,27,25,27,,
,Bud Norris,HOU,NL,SP,3,5,330,73,76,12,38,63,4,45,42,24,,
,Calvin Medlock,TBA,AL,RP,2,3,224,50,52,8,25,32,2,31,29,26,,
,Camilo Vazquez,,,,4,8,493,108,121,20,56,68,5,74,68,25,,
,Cardoza Tucker,,,,1,2,124,26,30,5,18,15,1,20,19,24,,
,Carlos Alvarez,,,,1,2,134,29,31,5,17,21,1,19,18,24,,
,Carlos Fisher,CIN,NL,RP,3,3,233,53,53,6,24,44,2,28,26,26,,
,Carlos Gutierrez,,,,1,2,124,26,32,5,15,14,1,20,19,22,,
,Carlos Hernandez,,,,2,3,220,48,54,9,26,30,2,33,31,29,,
